!! request processed by HyperLeda Tue Feb  1 20:12:14 2022
!! Number of lines in uploaded file: 673
                  name                  |     objname     |     al2000      |     de2000      |      type       |       bar       |      ring       |    multiple     |        t        |     logd25      |     logr25      |    e_logr25     |       pa        |       bt        |       it        |      vmaxg      |       m21       |      mfir       |        v        |       ag        |      incl       |      vrot       |      vvir       |      modz       |
UGC06312                                |  UGC06312       | 11.3000542      | 7.8449016       | Sa              | B               |                 |                 | 0.9             |  1.072          |   0.37          |    0.025        | 47.04           | 14.725          | 12.949          | 253.02          | 15.508          |                 | 6332            | 0.182           | 73.46           | 263.93          | 6367.7          | 34.839          |
UGC06320                                |  UGC06320       | 11.3047905      | 18.8470795      | Sm              |                 |                 |                 | 9               |  1.129          |  0.027          |    0.025        |                 | 13.699          | 13.401          | 20.91           | 15.841          |                 | 1121.5          | 0.097           | 21.98           | 55.86           | 1208.6          | 31.252          |
UGC06517                                |  UGC06517       | 11.5340042      | 36.6980246      | Sbc             | B               |                 | M               | 3.9             |  1.198          |  0.236          |     0.05        | 38.28           | 14.034          | 13.368          | 102.51          | 15.392          |                 | 2494.6          | 0.121           | 56.85           | 122.44          | 2664.6          | 32.94           |
UGC06616                                |  NGC3795A       | 11.6559168      | 58.2686587      | SABc            | B               |                 |                 | 6.4             |  1.308          |  0.137          |    0.027        | 71.21           | 14.264          | 13.179          | 45.56           | 14.738          |                 | 1144.8          | 0.057           | 43.98           | 65.62           | 1384.6          | 31.579          |
UGC07012                                |  UGC07012       | 12.0342061      | 29.8480469      | SBc             | B               |                 |                 | 5.7             |  1.034          |  0.273          |    0.021        | 9.74            | 14.342          | 13.655          | 88.67           | 14.866          |                 | 3073.5          | 0.092           | 59.4            | 103.01          | 3233.9          | 33.358          |
UGC07129                                |  UGC07129       | 12.1486324      | 41.7408587      | SBab            | B               | R               |                 | 2               |  1.062          |   0.17          |    0.023        | 73.05           | 14.163          | 12.831          | 60.27           | 17.195          |                 | 926             | 0.06            | 50.41           | 78.21           | 1132.5          | 31.107          |
UGC07145                                |  UGC07145       | 12.1641591      | 38.2185882      | Sc              |                 |                 |                 | 5.9             |   1.14          |  0.442          |    0.025        | 152.85          | 15.168          | 13.625          | 362.9           |                 |                 | 6639.7          | 0.1             | 71.46           | 382.76          | 6835            | 34.989          |
UGC08004                                |  UGC08004       | 12.8605417      | 31.3528226      | SABc            | B               |                 |                 | 6.4             |  1.042          |  0.402          |    0.028        | 5.64            | 15.003          | 13.768          | 133.88          | 15.809          |                 | 6183.6          | 0.059           | 68.71           | 143.69          | 6376.9          | 34.839          |
UGC08107                                |  UGC08107       | 12.9943719      | 53.3412702      | IB              | B               |                 | M               | 9.7             |  1.359          |  0.368          |    0.048        | 51.85           | 14.567          | 13.047          | 361.44          | 15.258          | 13.364          | 8296.1          | 0.095           | 83.75           | 363.6           | 8554.4          | 35.477          |
UGC08231                                |  UGC08231       | 13.1437336      | 54.0743675      | Sc              | B               | R               |                 | 6               |  1.171          |  0.497          |    0.052        | 74.94           | 14.309          | 14.007          | 96.79           | 15.146          |                 | 2462.2          | 0.097           | 74.45           | 100.47          | 2725            | 33.005          |
UGC08234                                |  UGC08234       | 13.1462521      | 62.2716531      | S0-a            | B               |                 |                 | -0.2            |  1.205          |  0.386          |    0.058        | 142.14          | 13.722          | 12.52           |                 |                 |                 | 8109            | 0.067           | 80.23           |                 | 8384.1          | 35.434          |
UGC08250                                |  UGC08250       | 13.1722567      | 32.4827197      | Sc              |                 |                 |                 | 5.9             |  1.121          |   0.68          |     0.03        | 12.59           | 15.477          | 13.954          | 125.17          | 15.892          |                 | 5268            | 0.064           | 83.93           | 125.87          | 5474.8          | 34.505          |
UGC08267                                |  UGC08267       | 13.1864745      | 43.7264078      | Sbc             |                 |                 |                 | 3.9             |  1.051          |  0.576          |    0.033        | 40.48           | 15.481          | 13.616          | 221.21          | 17.058          | 13.302          | 7261.8          | 0.088           | 82.27           | 223.24          | 7502.7          | 35.192          |
UGC08322                                |  UGC08322       | 13.2502528      | 12.7252067      | SABa            | B               | R               |                 | 1               |  1.055          |  0.708          |    0.047        | 36.13           | 14.755          | 12.919          | 238.12          | 17.881          |                 | 7603.3          | 0.101           |   90            | 238.12          | 7735.2          | 35.264          |
UGC08662                                |  UGC08662       | 13.6881286      | 33.772607       | Sc              |                 |                 |                 | 6               |  1.158          |  0.716          |    0.027        | 72.94           | 15.741          | 14.666          | 74.72           | 16.209          |                 | 2026.5          | 0.062           | 85.9            | 74.91           | 2252.2          | 32.585          |
UGC08733                                |  UGC08733       | 13.8108249      | 43.4126147      | Sc              | B               |                 | M               | 6               |  1.289          |  0.307          |    0.029        | 6.33            | 14.45           | 13.379          | 80.92           | 14.587          |                 | 2336.1          | 0.078           | 62.15           | 91.52           | 2591.6          | 32.874          |
UGC08778                                |  UGC08778       | 13.8685211      | 38.0670294      | Sab             |                 |                 |                 | 2               |  0.968          |  0.582          |    0.063        | 119.11          | 14.705          | 13.124          | 153.09          | 16.662          |                 | 3229.8          | 0.091           |   90            | 153.09          | 3472.9          | 33.515          |
UGC08781                                |  UGC08781       | 13.8729815      | 21.5393583      | Sb              | B               |                 |                 | 3.1             |  1.201          |  0.234          |    0.027        | 161.78          | 14.306          | 12.458          | 238.57          | 17.05           |                 | 7570.6          | 0.13            | 57.13           | 284.04          | 7758.9          | 35.264          |
UGC08984                                |  UGC08984       | 14.0630998      | 35.7417243      | Sab             |                 |                 |                 | 2               |  1.029          |  0.602          |    0.058        | 35.1            | 14.114          | 12.651          |                 |                 |                 | 3805.6          | 0.033           |   90            |                 | 4047            | 33.845          |
UGC08988                                |  UGC08988       | 14.0556241      | 60.9901968      | Sc              |                 |                 |                 | 5.9             |  1.166          |  0.615          |    0.036        | 173.91          | 15.396          | 14.005          | 92.41           | 16.355          |                 | 2079.3          | 0.066           | 80.61           | 93.66           | 2367.6          | 32.698          |
UGC09056                                |  UGC09056       | 14.1560094      | 49.0379243      | Scd             |                 |                 |                 | 7               |  1.056          |  0.495          |    0.032        | 139.49          | 14.452          | 13.938          | 77.52           | 15.687          |                 | 2039.8          | 0.14            | 73.66           | 80.78           | 2314.3          | 32.661          |
UGC09067                                |  UGC09067       | 14.1792947      | 15.2094136      | Sab             |                 |                 |                 | 2               |   0.91          |  0.352          |    0.025        | 10.64           | 14.594          | 13.332          | 184.11          | 16.339          | 13.32           | 7840.5          | 0.073           | 69.45           | 196.62          | 8012.4          | 35.333          |
UGC09071                                |  UGC09071       | 14.167519       | 54.2183551      | Sc              | B               |                 |                 | 5.9             |  1.249          |   0.68          |    0.024        | 37.71           | 14.928          | 13.721          | 84.58           | 15.44           |                 | 1823.9          | 0.071           | 83.84           | 85.07           | 2106.7          | 32.426          |
UGC09080                                |  UGC09080       | 14.176639       | 59.35802        | Sc              |                 |                 |                 | 5.8             |  1.091          |  0.768          |    0.042        | 40.96           | 15.582          | 14.668          |    74           | 15.692          |                 | 3064.8          | 0.045           |   90            |   74            | 3353.4          | 33.438          |
UGC09110                                |  UGC09110       | 14.2370523      | 15.6223973      | SBb             | B               |                 |                 | 3.2             |  1.123          |  0.382          |    0.029        | 18.41           | 14.094          | 13.094          | 154.66          | 14.981          |                 | 4647.9          | 0.076           | 70.14           | 164.44          | 4823.1          | 34.226          |
UGC09113                                |  UGC09113       | 14.2374363      | 35.4236103      | Sb              |                 |                 |                 | 3.2             |   1.18          |  0.517          |    0.027        | 57.6            | 15.453          | 13.696          | 122.39          | 14.575          | 13.105          | 3183            | 0.102           | 79.95           | 124.3           | 3427.7          | 33.49           |
UGC09165                                |  UGC09165       | 14.3132799      | 24.9404747      | S0-a            |                 |                 |                 | 0.3             |  1.084          |  0.603          |    0.039        | 53.8            | 15.131          | 13.112          | 175.54          | 16.01           | 11.795          | 5237.6          | 0.076           |   90            | 175.54          | 5450.6          | 34.504          |
UGC09182                                |  UGC09182       | 14.3461424      | 21.9357099      | Sc              |                 |                 |                 | 5.8             |  1.437          |  0.768          |    0.028        | 121.59          | 14.596          | 12.893          | 148.13          | 14.682          | 13.347          | 4655.4          | 0.131           |   90            | 148.13          | 4858.3          | 34.245          |
UGC09199                                |  UGC09199       | 14.3666343      | 11.1001616      | Sbc             |                 | R               |                 | 4               |  1.127          |  0.747          |     0.03        | 127.19          | 15.229          | 13.519          | 202.76          | 16.337          |                 | 7725            | 0.16            |   90            | 202.76          | 7884.7          | 35.299          |
UGC09253                                |  UGC09253       | 14.4495871      | 31.5170376      | SABb            | B               |                 |                 | 4               |  1.293          |  0.684          |    0.026        | 46.99           | 14.56           | 13.397          | 124.84          | 15.711          |                 | 3914.9          | 0.066           |   90            | 124.84          | 4153.1          | 33.909          |
UGC09262                                |  UGC09262       | 14.452859       | 35.9214913      | Sbc             |                 |                 |                 | 4.4             |  1.065          |  0.834          |    0.048        | 50.44           | 15.625          | 14.015          | 255.08          | 16.227          | 12.539          | 8461.3          | 0.057           |   90            | 255.08          | 8712.3          | 35.52           |
UGC09291                                |  UGC09291       | 14.4769152      | 38.9991636      | Sc              |                 |                 |                 | 6.4             |  1.271          |  0.318          |    0.027        | 110.5           | 13.9            | 12.052          | 115.33          | 15.106          |                 | 2886.7          | 0.062           | 62.84           | 129.62          | 3146.3          | 33.303          |
UGC09356                                |  UGC09356       | 14.5482058      | 11.5950192      | SABc            | B               |                 |                 | 4.7             |  1.025          |  0.275          |    0.025        | 101.56          | 14.244          | 12.826          | 104.64          | 14.372          |                 | 2225.6          | 0.114           | 60.04           | 120.77          | 2392.3          | 32.698          |
UGC09401                                |  UGC09401       | 14.6025727      | 21.793505       | Sa              |                 |                 | M               | 1               |  1.183          |  0.376          |    0.045        | 86.19           | 14.46           | 12.447          | 236.91          | 16.551          |                 | 5627.5          | 0.186           | 73.82           | 246.67          | 5836.4          | 34.647          |
UGC09448                                |  UGC09448       | 14.6497705      | 51.1206826      | Sb              |                 |                 |                 | 3.3             |  1.206          |  0.911          |    0.053        | 86.66           | 15.203          | 13.89           | 113.76          | 15.589          |                 | 2196.9          | 0.077           |   90            | 113.76          | 2483.6          | 32.805          |
UGC09476                                |  UGC09476       | 14.6922234      | 44.5127532      | SABc            | B               |                 | M               | 5.2             |  1.177          |  0.203          |    0.022        | 128.71          | 13.762          | 12.557          | 101.27          | 15.72           | 13.137          | 3270.7          | 0.078           | 52.61           | 127.45          | 3546.9          | 33.565          |
UGC09492                                |  UGC09492       | 14.7367164      | 7.9496144       | SBa             | B               | R               |                 | 1.1             |  1.039          |  0.324          |    0.027        | 52.85           | 14.745          | 12.909          | 236.57          | 16.845          |                 | 8304.8          | 0.116           | 68.63           | 254.03          | 8460.4          | 35.456          |
UGC09518                                |  UGC09518       | 14.7727143      | 32.7801274      | E               |                 |                 |                 | -4.8            |   1.06          |  0.154          |    0.028        | 0.16            | 14.338          | 12.631          |                 |                 |                 | 8714.7          | 0.059           | 73.71           |                 | 8963.9          | 35.582          |
UGC09537                                |  UGC09537       | 14.8074328      | 34.998053       | Sb              |                 |                 |                 | 3.1             |  1.349          |  0.772          |    0.038        | 139.83          | 14.695          | 12.71           | 299.13          | 14.803          | 13.747          | 8820.5          | 0.09            |   90            | 299.13          | 9076.6          | 35.613          |
UGC09539                                |  UGC09539       | 14.818324       | 22.1981458      | Sa              |                 |                 |                 | 0.9             |  0.858          |   0.43          |    0.028        | 65.98           | 14.803          | 13.262          |                 |                 |                 | 6343.2          | 0.143           | 79.94           |                 | 6558.8          | 34.895          |
UGC09542                                |  UGC09542       | 14.8169996      | 42.4639592      | Sc              |                 |                 |                 | 6.4             |  1.157          |  0.534          |    0.026        | 31.76           | 15.068          | 13.439          | 147.1           | 15.603          |                 | 5458.2          | 0.081           | 76.06           | 151.56          | 5732.5          | 34.601          |
UGC09598                                |  UGC09598       | 14.9191836      | 43.8185803      | SABc            | B               |                 |                 | 5.7             |   1.21          |  0.437          |    0.021        | 122.13          | 14.787          | 13.019          | 176.71          | 16.25           |                 | 5577.3          | 0.101           | 71.24           | 186.63          | 5856.2          | 34.647          |
UGC09629                                |  UGC09629       | 14.9531247      | 52.3460264      | Sa              |                 | R               |                 | 0.9             |  1.175          |  0.401          |    0.027        | 153.52          | 14.532          | 13.05           |                 |                 |                 | 7822.6          | 0.092           | 76.64           |                 | 8115.5          | 35.367          |
UGC09665                                |  UGC09665       | 15.0256829      | 48.3197881      | Sbc             |                 |                 | M               | 4               |  1.229          |  0.646          |    0.025        | 143.03          | 14.684          | 13.088          | 134.91          | 14.673          | 12.352          | 2557.6          | 0.098           |   90            | 134.91          | 2846.1          | 33.098          |
UGC09708                                |  UGC09708       | 15.1090179      | 9.4495557       | Sb              |                 |                 | M               | 3.2             |  0.903          |  0.079          |    0.025        | 161.02          | 15.178          | 14.402          | 62.56           | 16.438          |                 | 8416.8          | 0.146           | 34.89           | 109.38          | 8587.8          | 35.488          |
UGC09711                                |  UGC09711       | 15.1101552      | 9.4384897       | Sa              |                 |                 |                 | 1.1             |  1.089          |  0.703          |    0.027        | 107.35          | 15.32           | 13.852          |                 |                 | 12.718          | 8342.3          | 0.146           |   90            |                 | 8513.3          | 35.477          |
UGC09759                                |  UGC09759       | 15.1780571      | 55.3498168      | Sb              |                 |                 |                 | 2.5             |  1.125          |   0.29          |    0.028        | 52.73           | 15.142          | 13.119          | 138.85          | 15.07           | 13.27           | 3427.3          | 0.053           | 63.2            | 155.56          | 3726.3          | 33.662          |
UGC09777                                |  UGC09777       | 15.2375431      | 20.478665       | Sab             |                 | R               |                 | 2               |   0.97          |  0.338          |     0.03        | 149.64          | 14.818          | 13.365          | 135.46          | 15.265          | 13.462          | 4691.8          | 0.203           | 68.23           | 145.86          | 4909.9          | 34.263          |
UGC09842                                |  UGC09842       | 15.4182789      | 37.9601691      | Sb              | B               |                 |                 | 3               |  1.167          |  0.509          |    0.067        | 71.5            | 15.359          | 13.917          | 203.72          | 15.64           | 12.577          | 8927            | 0.06            | 79.66           | 207.09          | 9201.5          | 35.643          |
UGC09868                                |  UGC09868       | 15.4873979      | 52.8639241      | E               |                 |                 |                 | -5              |  1.081          |  0.279          |    0.026        | 29.02           | 15.952          | 13.807          |                 |                 |                 | 21860.9         | 0.06            |   90            |                 | 22161.3         | 37.598          |
UGC09873                                |  UGC09873       | 15.4973994      | 42.6289746      | Sc              |                 | R               |                 | 5.3             |  1.124          |  0.644          |    0.028        | 125.9           | 15.477          | 13.958          | 130.72          | 16.014          | 13.852          | 5618.2          | 0.129           | 83.27           | 131.62          | 5903.7          | 34.678          |
UGC09892                                |  UGC09892       | 15.5477652      | 41.1914589      | Sb              |                 |                 |                 | 3.2             |  1.115          |  0.615          |    0.031        | 101.73          | 15.16           | 13.77           | 148.18          | 15.971          |                 | 5658.2          | 0.112           |   90            | 148.18          | 5941.6          | 34.678          |
UGC09901                                |  UGC09901       | 15.57415        | 12.2703273      | Sbc             |                 |                 | M               | 4               |  1.095          |  0.906          |    0.059        | 177.89          | 15.195          | 14.121          | 99.67           | 15.474          |                 | 3160.8          | 0.172           |   90            | 99.67           | 3353            | 33.438          |
UGC09919                                |  UGC09919       | 15.5943476      | 12.6063777      | Sc              |                 |                 |                 | 5.8             |  1.169          |  0.915          |    0.049        | 169.98          | 15.059          | 13.912          | 116.07          | 15.512          | 14.1            | 3178            | 0.192           |   90            | 116.07          | 3371.9          | 33.464          |
UGC09937                                |  UGC09937       | 15.623032       | 20.5497763      | S0-a            |                 |                 |                 | 0               |  1.073          |  0.735          |    0.066        | 15.61           | 14.487          | 12.715          |                 |                 |                 | 4450.1          | 0.223           |   90            |                 | 4675.5          | 34.17           |
UGC10042                                |  UGC10042       | 15.8158653      | 7.2223099       | Sc              |                 |                 |                 | 5.7             |   1.13          |  0.679          |    0.037        | 169.86          | 14.725          | 13.102          | 148.58          | 15.641          | 13.562          | 4223.1          | 0.155           | 84.19           | 149.35          | 4397.5          | 34.034          |
UGC10043                                |  UGC10043       | 15.8114754      | 21.8695246      | Sbc             |                 |                 |                 | 4.2             |  1.342          |  0.847          |    0.058        | 150.04          | 15.123          | 13.76           | 146.1           | 14.354          | 12.703          | 2156.9          | 0.247           |   90            | 146.1           | 2389.9          | 32.698          |
UGC10097                                |  UGC10097       | 15.9286889      | 47.8672967      | S0              |                 |                 |                 | -2.2            |  1.151          |   0.12          |    0.029        | 123.86          | 14.021          |                 |                 |                 |                 | 5966.8          | 0.077           | 48.2            |                 | 6266            | 34.796          |
UGC10117                                |  UGC10117       | 15.9899733      | 21.6035196      | Sab             |                 |                 |                 | 2               |  0.994          |  0.502          |    0.059        | 131.78          | 15.29           | 13.583          |                 |                 | 14.219          | 5349.6          | 0.338           | 82.82           |                 | 5584.1          | 34.553          |
UGC10123                                |  UGC10123       | 15.9841357      | 51.3046158      | SBab            | B               |                 |                 | 2               |  1.063          |  0.635          |    0.056        | 54.71           | 14.865          | 13.114          | 198.06          | 15.594          | 12.379          | 3750.7          | 0.063           |   90            | 198.06          | 4054.5          | 33.845          |
UGC10205                                |  UGC10205       | 16.1111609      | 30.0990003      | Sa              |                 |                 | M               | 0.9             |   1.16          |  0.232          |    0.028        | 133.13          | 14.389          | 12.51           | 261.17          | 16.626          | 13.735          | 6567.9          | 0.201           | 59.15           | 304.2           | 6831.1          | 34.989          |
UGC10257                                |  UGC10257       | 16.1854377      | 38.2512543      | SABb            | B               |                 |                 | 4               |  1.211          |  0.633          |    0.026        | 164.6           | 14.911          |                 | 140.53          | 15.402          |                 | 3827.4          | 0.069           | 86.92           | 140.73          | 4112            | 33.888          |
UGC10297                                |  UGC10297       | 16.2580114      | 18.9047852      | SBc             | B               |                 |                 | 5.2             |  1.333          |    0.7          |    0.026        | 0.89            | 14.989          | 13.282          | 102.97          | 15.922          |                 | 2305.4          | 0.238           |   90            | 102.97          | 2533.3          | 32.839          |
UGC10331                                |  UGC10331       | 16.289198       | 59.3201405      | Sbc             |                 |                 |                 | 3.8             |  1.163          |  0.577          |    0.033        | 145.51          | 14.745          | 13.788          | 101.23          | 15.82           | 12.843          | 4472.1          | 0.057           | 82.54           | 102.09          | 4783.2          | 34.208          |
UGC10337                                |  UGC10337       | 16.3246136      | 7.2787645       | SABb            | B               |                 |                 | 3.1             |  1.083          |   0.52          |    0.023        | 65.26           | 14.864          | 13.419          | 257.12          | 16.252          |                 | 8759.9          | 0.335           | 80.33           | 260.83          | 8941.2          | 35.582          |
UGC10380                                |  UGC10380       | 16.430536       | 16.5761221      | Sb              |                 |                 |                 | 3               |  1.189          |  0.806          |    0.024        | 110.88          | 15.381          | 13.664          | 242.42          | 16.021          |                 | 8750.3          | 0.23            |   90            | 242.42          | 8971.2          | 35.582          |
UGC10384                                |  UGC10384       | 16.4463011      | 11.5802432      | Sab             |                 |                 |                 | 1.6             |  1.067          |  0.679          |    0.045        | 90.69           | 14.996          | 13.674          | 165.88          | 15.128          | 12.141          | 4961.9          | 0.253           |   90            | 165.88          | 5162.8          | 34.37           |
UGC10388                                |  UGC10388       | 16.4508305      | 16.382248       | SABa            | B               | R               |                 | 1               |  1.194          |  0.534          |    0.027        | 128.25          | 14.825          | 12.985          | 201.34          | 16.506          |                 | 4609            | 0.257           |   90            | 201.34          | 4829.3          | 34.227          |
UGC10650                                |  UGC10650       | 17.0040444      | 23.1062718      | IB              | B               |                 | M               | 9.9             |  1.095          |    0.7          |    0.028        | 26.97           | 15.232          |                 |  58.6           | 16.1            |                 | 2964.1          | 0.319           |   90            | 58.6            | 3212            | 33.358          |
UGC10693                                |  UGC10693       | 17.0813965      | 41.8655324      | E               |                 |                 |                 | -4.9            |  1.226          |    0.2          |    0.025        | 104.25          | 14.158          |                 |                 |                 |                 | 8353            | 0.098           |   90            |                 | 8649.9          | 35.509          |
UGC10695                                |  UGC10695       | 17.0848851      | 43.0431891      | E               |                 |                 | M               | -4.9            |    1.2          |  0.204          |     0.03        | 110.75          | 14.832          |                 |                 |                 |                 | 8328            | 0.105           |   90            |                 | 8626.9          | 35.499          |
UGC10710                                |  UGC10710       | 17.1145832      | 43.1221482      | Sb              |                 |                 |                 | 3               |  1.222          |   0.56          |     0.03        | 149.58          | 14.996          | 13.019          | 244.77          | 15.906          |                 | 8327.5          | 0.149           | 84.16           | 246.05          | 8626.5          | 35.499          |
UGC10796                                |  UGC10796       | 17.2799181      | 61.9201085      | Sb              | B               |                 | M               | 3.4             |  1.115          |  0.419          |    0.026        | 73.59           | 14.774          | 13.836          | 64.88           | 16.08           |                 | 3073.2          | 0.084           | 72.48           | 68.04           | 3387.3          | 33.464          |
UGC10799                                |  UGC10799       | 17.3151257      | 29.8561729      | Sc              |                 |                 |                 | 5.9             |  1.035          |   0.96          |    0.043        | 80              | 15.642          |                 | 197.88          | 18.199          |                 | 8509.4          | 0.164           |   90            | 197.88          | 8778.8          | 35.541          |
UGC10803                                |  UGC10803       | 17.2681313      | 73.4360503      | SABa            | B               |                 | M               | 1.5             |  1.038          |   0.13          |     0.04        | 24.47           | 12.842          |                 | 104.25          | 15.073          |                 | 1253.4          | 0.201           | 44.84           | 147.85          | 1559.9          | 31.809          |
UGC10811                                |  UGC10811       | 17.3121447      | 58.135162       | Sab             | B               | R               |                 | 2.1             |   1.08          |  0.484          |    0.026        | 92.31           | 14.957          | 13.389          |                 |                 |                 | 8718.4          | 0.129           | 80.65           |                 | 9032.2          | 35.603          |
UGC10905                                |  UGC10905       | 17.5684417      | 25.3439222      | S0-a            |                 |                 |                 | -0.1            |  1.185          |  0.295          |    0.049        | 171.66          | 14.459          |                 |                 |                 |                 | 7843            | 0.309           | 68.36           |                 | 8098.6          | 35.367          |
UGC10972                                |  UGC10972       | 17.7727439      | 26.543639       | Sc              |                 |                 |                 | 5.9             |  1.319          |  0.605          |    0.026        | 55.17           | 14.391          | 12.51           | 180.73          | 15.26           |                 | 4651.6          | 0.288           | 80.08           | 183.47          | 4910.4          | 34.263          |
UGC11228                                |  UGC11228       | 18.4128709      | 41.4926139      | S0              | B               |                 |                 | -2              |  1.049          |   0.26          |    0.025        | 178             | 14.473          |                 |                 |                 |                 | 5771.4          | 0.266           | 71.4            |                 | 6063.4          | 34.723          |
UGC11262                                |  UGC11262       | 18.5099314      | 42.6925907      | Sc              |                 |                 |                 | 6.4             |  1.136          |  0.381          |    0.045        | 50.6            | 15.424          | 13.482          | 144.67          | 15.625          |                 | 5558.7          | 0.171           | 67.35           | 156.76          | 5852.1          | 34.647          |
UGC11649                                |  UGC11649       | 20.9243377      | -1.2252027      | SBa             | B               | R               |                 | 1.1             |   1.16          |  0.132          |    0.025        | 90.94           | 14.405          | 12.721          | 127.98          | 15.196          |                 | 3789.6          | 0.506           | 45.53           | 179.35          | 3874.5          | 33.755          |
PGC066146                               |  PGC066146      | 21.1281701      | 3.872119        | Sc              |                 |                 | M               | 5.8             |  1.243          |  0.397          |    0.071        |                 | 14.341          |                 | 227.62          | 16.65           |                 | 7773.1          | 0.364           | 68.7            | 244.32          | 7875.4          | 35.299          |
PGC066150                               |  PGC066150      | 21.1294095      | 3.8777637       | E-S0            |                 |                 | M               | -3.2            |  0.838          |      0          |     0.08        |                 | 14.95           |                 |                 |                 | 11.978          | 7861.8          | 0.362           |    0            |                 | 7964.1          | 35.322          |
UGC11694                                |  UGC11694       | 21.1978298      | 11.2761374      |                 |                 |                 |                 |                 |  1.179          |   0.11          |    0.063        | 35              | 15.116          |                 | 276.36          |                 |                 | 5054.8          | 0.433           | 39.8            | 431.71          | 5188.5          | 34.387          |
UGC11717                                |  UGC11717       | 21.309825       | 19.7186389      | Sbc             |                 |                 |                 | 3.8             |  1.084          |  0.427          |    0.047        | 39.67           | 15.034          |                 |                 |                 | 13.907          | 6303            | 0.369           | 72.51           |                 | 6468.8          | 34.867          |
UGC11740                                |  UGC11740       | 21.4373197      | 9.7979151       | Sb              |                 |                 |                 | 3               |  1.065          |  0.514          |    0.025        | 120.15          | 14.735          | 13.512          | 171.63          |                 |                 | 6432.4          | 0.198           | 80.17           | 174.19          | 6551.3          | 34.895          |
UGC11792                                |  UGC11792       | 21.703495       | 5.6153177       | Sc              |                 |                 |                 | 5.8             |  1.133          |  0.737          |    0.025        | 160.29          | 15.525          | 13.012          | 162.46          | 15.983          |                 | 4812.4          | 0.605           |   90            | 162.46          | 4902.7          | 34.263          |
NGC7237                                 |  NGC7237        | 22.2463558      | 13.8408182      | E-S0            |                 |                 | M               | -3              |  1.296          |  0.363          |    0.029        | 143.41          | 14.56           | 12.849          |                 |                 |                 | 7858.6          | 0.279           |   90            |                 | 7966.4          | 35.322          |
UGC11982                                |  UGC11982       | 22.3147083      | -1.0586722      | SBc             | B               |                 |                 | 6               |  1.087          |  0.698          |    0.026        | 171.84          | 15.711          | 14.439          | 122.92          | 15.627          |                 | 4905.3          | 0.453           | 84.61           | 123.46          | 4941.1          | 34.281          |
UGC12054                                |  UGC12054       | 22.4923398      | 7.7260618       | Sbc             |                 |                 |                 | 3.5             |  1.063          |  0.668          |    0.038        | 47.57           | 15.004          | 13.855          |  90.6           | 14.954          |                 | 2067            | 0.477           |   90            | 90.6            | 2137.5          | 32.467          |
UGC12127                                |  UGC12127       | 22.6414872      | 35.3306774      | E               |                 |                 |                 | -4.9            |  1.162          |      0          |    0.057        |                 | 14.92           |                 |                 |                 |                 | 8284.7          | 0.325           |    0            |                 | 8466.2          | 35.456          |
UGC12185                                |  UGC12185       | 22.7902944      | 31.3735278      | SBab            | B               | R               |                 | 2.5             |  1.145          |  0.334          |     0.03        | 150.25          | 14.723          |                 | 198.68          | 16.015          |                 | 6635            | 0.264           | 67.14           | 215.62          | 6796.7          | 34.976          |
UGC12224                                |  UGC12224       | 22.8773028      | 6.0936667       | Sc              |                 |                 |                 | 5.9             |  1.174          |  0.058          |    0.024        | 46.5            | 15.217          |                 | 81.42           | 15.166          |                 | 3506            | 0.375           | 29.55           | 165.11          | 3553.7          | 33.565          |
UGC12250                                |  UGC12250       | 22.9266467      | 12.7903204      | SBb             | B               | R               |                 | 3               |  1.224          |  0.221          |    0.025        | 12.83           | 14.256          | 12.804          | 183.95          | 16.71           |                 | 7225.5          | 0.212           | 55.78           | 222.47          | 7302.5          | 35.131          |
UGC12274                                |  UGC12274       | 22.9721         | 26.0619722      | Sab             |                 |                 |                 | 2               |  1.126          |  0.485          |    0.032        | 142.25          | 15.326          |                 | 180.87          | 18.013          |                 | 7656.3          | 0.438           | 81.02           | 183.12          | 7790.2          | 35.276          |
UGC12308                                |  UGC12308       | 23.0218603      | 14.3395871      | SABc            | B               |                 |                 | 5.9             |  1.326          |  0.682          |    0.022        | 117.52          | 15.026          | 13.764          | 102.06          | 14.381          |                 | 2219            | 0.301           | 84.11           | 102.61          | 2299.5          | 32.623          |
UGC12348                                |  UGC12348       | 23.0885639      | 0.1893611       | SBa             | B               |                 |                 | 1               |  1.105          |  0.592          |    0.028        | 136.5           | 15.43           |                 | 190.12          | 16.495          | 13.145          | 7619.5          | 0.208           |   90            | 190.12          | 7630.7          | 35.228          |
UGC12494                                |  UGC12494       | 23.3146111      | 6.8772222       | Scd             | B               |                 | M               | 6.7             |  1.149          |  0.554          |    0.025        | 34.34           | 15.2            | 13.855          | 91.57           | 15.62           |                 | 4193.9          | 0.454           | 76.78           | 94.06           | 4227.9          | 33.951          |
PGC071033                               |  PGC071033      | 23.3143551      | 6.8952358       | Sa              |                 |                 |                 | 1               |  0.787          |  0.165          |    0.031        | 134             | 16.36           | 13.83           |                 |                 |                 |                 | 0.45            | 50.64           |                 |                 |                 |
